
# Surface 0 of 1 surfaces

# Curve title: ""Functions-of-two-variables_contourtmp1.dat""
# Contour 0, label:        3
-2.37401  2.13906  1.5 
-2.29644  2.06999  1.5 
-2.27301  2.04717  1.5 
-2.18473  1.96899  1.5 
-2.17201  1.95661  1.5 
-2.07135  1.86799  1.5 
-2.07101  1.86765  1.5 
-1.97001  1.7794  1.5 
-1.95413  1.76699  1.5 
-1.86901  1.69316  1.5 
-1.83376  1.66599  1.5 
-1.76801  1.60943  1.5 
-1.70946  1.56499  1.5 
-1.66701  1.52881  1.5 
-1.5801  1.46399  1.5 
-1.56601  1.4521  1.5 
-1.46501  1.37846  1.5 
-1.44014  1.36299  1.5 
-1.36401  1.3089  1.5 
-1.28574  1.26199  1.5 
-1.26301  1.24628  1.5 
-1.16201  1.18884  1.5 
-1.10115  1.16099  1.5 
-1.06101  1.13951  1.5 
-0.96001  1.09778  1.5 
-0.85901  1.06708  1.5 
-0.823215  1.05999  1.5 
-0.75801  1.04455  1.5 
-0.65701  1.03206  1.5 
-0.55601  1.02999  1.5 
-0.45501  1.03749  1.5 
-0.35401  1.05359  1.5 
-0.326027  1.05999  1.5 
-0.253011  1.07441  1.5 
-0.152011  1.09927  1.5 
-0.0510108  1.12795  1.5 
 0.0499891  1.15908  1.5 
 0.0561721  1.16099  1.5 
 0.150989  1.18613  1.5 
 0.251989  1.21195  1.5 
 0.352989  1.23525  1.5 
 0.453989  1.25427  1.5 
 0.515487  1.26199  1.5 
 0.554989  1.26623  1.5 
 0.655988  1.2699  1.5 
 0.756988  1.26463  1.5 
 0.773748  1.26199  1.5 
 0.857988  1.24544  1.5 


# Contour 4, label:        1
 4.49398 -4.81115  1 
 4.58075 -4.899  1 
 4.59498 -4.91281  1 
 4.68112 -5  1 

 0.91923  1.05999  1 
 0.958988  1.03314  1 
 1.03314  0.958988  1 
 1.05999  0.91923  1 
 1.09053  0.857988  1 
 1.12031  0.756988  1 
 1.13289  0.655988  1 
 1.13192  0.554989  1 
 1.12054  0.453989  1 
 1.10155  0.352989  1 
 1.07742  0.251989  1 
 1.05999  0.187725  1 
 1.04817  0.150989  1 
 1.0141  0.0499891  1 
 0.981257 -0.0510108  1 
 0.958988 -0.125857  1 
 0.949787 -0.152011  1 
 0.919312 -0.253011  1 
 0.896478 -0.35401  1 
 0.882602 -0.45501  1 
 0.878827 -0.55601  1 
 0.886148 -0.65701  1 
 0.905436 -0.75801  1 
 0.937458 -0.85901  1 
 0.958988 -0.906126  1 
 0.979433 -0.96001  1 
 1.03057 -1.06101  1 
 1.05999 -1.10677  1 
 1.09007 -1.16201  1 
 1.15767 -1.26301  1 
 1.16099 -1.26711  1 
 1.22846 -1.36401  1 
 1.26199 -1.40479  1 
 1.30503 -1.46501  1 
 1.36299 -1.53455  1 
 1.38599 -1.56601  1 
 1.46399 -1.6585  1 
 1.47034 -1.66701  1 
 1.55651 -1.76801  1 
